CRS_DPT_CD,CRS_NO,CRS_MIN_CDT,CRS_MAX_CDT,CRS_CREDITVARIABLE,CRS_SHORTTITLE,CRS_LONGTITLE,CRS_DESCRIPTION,CRS_STARTTERM,CRS_ENDTERM,CRS_CREDITVECTOR,ADMIN_CAMPUS_CD,CRS_LEVEL,CRS_GRADE_TYPE,CRS_CRSE_TYP_CD,Pre-requisites,Core-requisites,CRS_DUPLICATES,CRS_DUPLNOTE,CRS_CRSE_REF_CD,CRS_FACL_APPR_DT,CRS_SNTE_APPR_DT,SEC_SES
AANB,500,3.0,3.0,,GRADUATE SEMINAR,Graduate Seminar,Participation in this course is compulsory for all graduate students in Applied Animal Biology.,2013W,,[2-0],UBC,G,PCNT,ACAD,,,,,, 03/25/2013, 04/19/2013,2018W
AANB,504,3.0,3.0,,RSRCH METHDLGY,Research Methodology in Applied Animal Biology,,2013W,,,UBC,G,PCNT,ACAD,,,,,, 03/25/2013, 04/19/2013,2018W
AANB,515,3.0,3.0,,ANML WELFR & ETH,Animal Welfare and Animal Ethics,"Credit will be granted for only one of APBI 315, ANSC 515, or AANB 515.",2013W,,,UBC,G,PCNT,ACAD, (Standing as a graduate student.),,,,, 03/25/2013, 04/19/2013,2018W
AANB,530,2.0,6.0,c,DIRECTED STUDIES,Directed Studies,,2013W,,,UBC,G,PCNT,ACAD,,,,,, 03/25/2013, 04/19/2013,2018W
AANB,549,12.0,18.0,c,MASTERS THESIS,Master's Thesis,,2013W,,,UBC,G,PASS,ACAD,,,,,, 03/25/2013, 05/31/2013,2018W
AANB,550,3.0,3.0,,TPC ANML WELFARE,Topics in Animal Welfare,,2013W,,,UBC,G,PCNT,ACAD,,APBI 315.,,,, 03/25/2013, 04/19/2013,2018W
AANB,551,3.0,3.0,,ANML WELF RSRCH,Tutorials in Animal Welfare Research,,2013W,,,UBC,G,PCNT,ACAD,,,,,, 03/25/2013, 04/19/2013,2018W
AANB,649,0,0,,DOCTORAL DISSERT,Doctoral Dissertation,,2013W,,,UBC,G,PASS,ACAD,,,,,, 03/25/2013, 05/31/2013,2018W
ACAM,250,3.0,3.0,,ASN CDN POP CULT,Asian Canadians in Popular Culture,"Popular culture's role in the production of Asian Canadian and diasporic communities, with emphasis on race, gender, sexuality, and other identity categories.",2018W,,,UBC,U,PCNT,ACAD,,,,,, 12/14/2017, 02/05/2018,2018W
ACAM,350,3.0,3.0,,ASIAN CAN MEDIA,Asian Canadian Community-Based Media,"Digital media production in the context of community engagement. Includes critical media literacy, community-based research ethics, project design, training in media forms such audio, video, photography, and web publishing.",2016W,,,UBC,U,PCNT,ACAD,,,,,, 05/05/2016, 07/18/2016,2018W
ACAM,447,3.0,6.0,c,DIRCTD STDY ACAM,Directed Studies in Asian Canadian and Asian Migration,General reading and/or a research undertaking within the scope of Asian Canadian and Asian Migration.,2017W,,,UBC,U,PCNT,ACAD, (Permission of the Chair of the ACAM program.),,,,, 02/14/2017, 05/17/2017,2018W
ADHE,327,3.0,3.0,,TEACH ADULT,Teaching Adults,"Planning, conducting and evaluating instruction for adults.  Consideration is given to different beliefs and ways of thinking about teaching.",2002W,,[3-0-0],UBC,U,PCNT,ACAD,,,ADED327,,, 12/03/2002, 12/13/2002,2018W
ADHE,328,3.0,3.0,,INST ADUL EDUC,Institutions of Adult Education,"The history, roles, and activities of institutions in the field of adult education.  Institutions in Canada, Great Britain, and the United States are emphasized, and some experiences in other countries are examined.",2002W,,[3-0-0],UBC,U,PCNT,ACAD,,,ADED328,,, 12/03/2002, 12/13/2002,2018W
ADHE,329,3.0,3.0,,DEV WKSHP/SEM,"Developing Short Courses, Workshops and Seminars","Organization and administration of adult education events such as short courses, seminars, workshops, conferences and institutes.",2002W,,[3-0-0],UBC,U,PCNT,ACAD,,,ADED329,,, 12/03/2002, 12/13/2002,2018W
ADHE,330,3.0,3.0,,COM ADULT EDUC,The Community Practice of Adult Education,"Community based adult education with particular emphasis on the application of knowledge of the social, economic, cultural and political environment in developing and conducting adult education programs with an for individuals and groups.",2002W,,[2-3-0],UBC,U,PCNT,ACAD,,,ADED330,,, 12/03/2002, 12/13/2002,2018W
ADHE,412,3.0,3.0,,ADUL EDUC,An Overview of Adult Education,"Survey of adult education theory and practice in Canada and the world. The focus is on the purpose and participation in, adult education, characteristics of learners, and the training of adult educators.",2004W,,[3-0-0; 3-0-0],UBC,U,PCNT,ACAD,,,ADED412,,, 12/20/2004, 12/20/2004,2018W
AFST,250,3.0,6.0,d,INTRO AFRI STUDY,Introduction to African Studies,"Cultural, historical, and geographical issues of African Studies.",2009W,,,UBC,U,PCNT,ACAD,,,,,, 10/07/2008, 05/13/2009,2018W
AFST,351,3.0,6.0,d,PRSPCTV: LIT&THR,Perspectives in African Studies: Literary and Theoretical Approaches,Major issues and theoretical approaches.,2009W,,,UBC,U,PCNT,ACAD,,AFST 250. (Credit will not be given for both AFST 350 and 351),,,, 06/15/2009, 10/27/2009,2018W
AFST,352,3.0,6.0,d,PRSPCTV: SOC SCI,Perspectives in African Studies: A Social Science Approach,Major issues and theoretical approaches.,2009W,,,UBC,U,PCNT,ACAD,,AFST 250. (Credit will not be given for both AFST 350 and 352),,,, 06/15/2009, 10/27/2009,2018W
AFST,450,3.0,6.0,d,DIASPORIC CULTUR,African Diasporic Culture in African Canadian Communities,"African diasporic culture in Canadian society, fostering dialogue with members of African Canadian communities on cultural values, traditions, memory, adaptation and change.",2011W,,,UBC,U,PCNT,ACAD,,,,,, 02/10/2011, 05/17/2011,2018W
AGEC,530,2.0,6.0,c,DIRECTED STUDIES,Directed Studies,,2002W,,,UBC,G,PCNT,ACAD,,,,,, 04/12/2002, 04/12/2002,2018W
AGEC,549,12.0,12.0,,MASTERS THESIS,Master's Thesis,,2003W,,,UBC,G,PASS,ACAD,,,,,, 01/30/2004, 01/30/2004,2018W
ANAT,392,4.0,4.0,,GROSS ANAT LIMBS,Gross Anatomy of the Limbs and Trunk,Lectures and laboratory sessions on the human gross and functional anatomy of the limbs and trunk. The course includes the study of predissected specimens. For credit only in the Department of Physical Therapy.,2008W,,,UBC,U,PCNT,ACAD,,,,,, 01/31/2008, 01/31/2008,2018W
ANAT,448,1.0,6.0,d,DIRECTED STUDIES,Directed Studies in Anatomy,Permission of the Head and supervisor required.,1996W,,,UBC,U,PCNT,ACAD,,,,,, 01/17/1996, 01/18/1996,2018W
ANAT,502,8.0,8.0,,MICROSCOPIC ANAT,Microscopic Anatomy,The microscopic anatomy of tissues and organs in man.,1991S,,,UBC,G,PCNT,ACAD,ANAT401,,,,, 01/01/1970, 01/01/1970,2018W
